caldt,vwretd,vwretx,ewretd,ewretx,totval,totcnt,usdval,usdcnt,spindx,sprtrn
2001/08/20,0.008191,0.008191,0.005076,0.005076,10452986400.00,500,10368356400.00,500,1171.41,0.008124
2001/08/21,-0.012215,-0.012217,-0.009845,-0.009853,10325283600.00,500,10452986400.00,500,1157.26,-0.012079
2001/08/22,0.007032,0.006954,0.007871,0.007733,10397089500.00,500,10325283600.00,500,1165.31,0.006956
2001/08/23,-0.002899,-0.002913,-0.002781,-0.002859,10366802800.00,500,10397089500.00,500,1162.09,-0.002763
2001/08/24,0.019594,0.019577,0.018135,0.018105,10569753800.00,500,10366802800.00,500,1184.93,0.019654
2001/08/27,-0.004758,-0.004761,-0.002446,-0.002459,10519433300.00,500,10569753800.00,500,1179.21,-0.004827
2001/08/28,-0.015032,-0.015047,-0.012163,-0.012176,10361179600.00,500,10519433300.00,500,1161.51,-0.015010
2001/08/29,-0.011160,-0.011318,-0.008487,-0.008812,10244522600.00,500,10338875800.00,499,1148.60,-0.011115
2001/08/30,-0.016924,-0.017045,-0.014227,-0.014353,10081346800.00,500,10252941700.00,500,1129.03,-0.017038
2001/08/31,0.004151,0.004137,0.005535,0.005515,10134138100.00,500,10081346800.00,500,1133.58,0.004030
2001/09/04,-0.000583,-0.000588,-0.002183,-0.002195,10128095300.00,500,10134059000.00,500,1132.94,-0.000565
2001/09/05,-0.000843,-0.001046,-0.006091,-0.006274,10117499900.00,500,10128095300.00,500,1131.74,-0.001059
2001/09/06,-0.022362,-0.022398,-0.019383,-0.019461,9890884820.00,500,10117499900.00,500,1106.40,-0.022390
2001/09/07,-0.018559,-0.018570,-0.019208,-0.019249,9707206940.00,500,9890884820.00,500,1085.78,-0.018637
2001/09/10,0.006272,0.006261,-0.001243,-0.001260,9769212820.00,500,9707206940.00,500,1092.54,0.006226
2001/09/17,-0.048809,-0.049144,-0.061869,-0.062240,9289527300.00,500,9761980810.00,499,1038.77,-0.049216
2001/09/18,-0.005685,-0.005696,-0.011519,-0.011552,9236617180.00,500,9289527300.00,499,1032.74,-0.005805
2001/09/19,-0.015842,-0.015896,-0.019220,-0.019293,9089791150.00,500,9236617180.00,499,1016.10,-0.016112
2001/09/20,-0.030608,-0.030620,-0.032161,-0.032191,8811465540.00,500,9089791150.00,499,984.54,-0.031060
2001/09/21,-0.019294,-0.019295,-0.018875,-0.018876,8650959180.00,500,8821159400.00,500,965.80,-0.019034
2001/09/24,0.039013,0.039012,0.039626,0.039614,8988448820.00,500,8650959180.00,500,1003.45,0.038983
2001/09/25,0.008676,0.008659,0.003033,0.003012,9066282420.00,500,8988448820.00,500,1012.27,0.008790
2001/09/26,-0.004796,-0.005120,-0.016903,-0.017078,9019867110.00,500,9066282420.00,500,1007.04,-0.005167
2001/09/27,0.011205,0.011189,0.005999,0.005959,9120791740.00,500,9019867110.00,500,1018.61,0.011489
2001/09/28,0.021785,0.021771,0.027845,0.027817,9316520260.00,500,9120791740.00,500,1040.94,0.021922
2001/10/01,-0.002042,-0.002043,-0.010252,-0.010256,9297487970.00,500,9316520260.00,500,1038.55,-0.002296
2001/10/02,0.012118,0.012118,0.014521,0.014521,9410151770.00,500,9297487970.00,500,1051.33,0.012306
2001/10/03,0.020305,0.020099,0.032454,0.032348,9599390760.00,500,9410151770.00,500,1072.28,0.019927
2001/10/04,-0.002687,-0.002693,0.001673,0.001661,9573543950.00,500,9599390760.00,500,1069.63,-0.002471
2001/10/05,0.001936,0.001707,0.001391,0.001302,9589884470.00,500,9573543950.00,500,1071.38,0.001636
2001/10/08,-0.008232,-0.008232,-0.010547,-0.010547,9515902760.00,500,9589884470.00,500,1062.44,-0.008344
2001/10/09,-0.005335,-0.005391,-0.007092,-0.007108,9464599250.00,500,9515902760.00,500,1056.75,-0.005356
2001/10/10,0.022807,0.022761,0.027937,0.027882,9696730660.00,500,9442123230.00,500,1080.99,0.022938
2001/10/11,0.015018,0.014957,0.026117,0.026075,9841761320.00,500,9696730660.00,500,1097.43,0.015208
2001/10/12,-0.005068,-0.005074,-0.005999,-0.006024,9791824840.00,500,9841761320.00,500,1091.65,-0.005267
2001/10/15,-0.001281,-0.001283,-0.004056,-0.004064,9779265430.00,500,9791824840.00,500,1089.98,-0.001530
2001/10/16,0.007021,0.007019,0.010885,0.010869,9847906110.00,500,9779265430.00,500,1097.54,0.006936
2001/10/17,-0.018789,-0.018856,-0.024239,-0.024283,9662218370.00,500,9847906110.00,500,1077.09,-0.018633
2001/10/18,-0.007369,-0.007393,-0.010235,-0.010294,9590783990.00,500,9662218370.00,500,1068.61,-0.007873
2001/10/19,0.004644,0.004644,0.005075,0.005075,9635322020.00,500,9590783990.00,500,1073.48,0.004557
2001/10/22,0.015344,0.015344,0.014083,0.014083,9783167370.00,500,9635322020.00,500,1089.90,0.015296
2001/10/23,-0.004935,-0.004935,-0.002620,-0.002620,9734889810.00,500,9783167370.00,500,1084.78,-0.004698
2001/10/24,0.000428,0.000416,0.001472,0.001463,9738940970.00,500,9734889810.00,500,1085.20,0.000387
2001/10/25,0.013861,0.013858,0.018042,0.018030,9873908520.00,500,9738940970.00,500,1100.09,0.013721
2001/10/26,0.003997,0.003997,0.004345,0.004343,9913271670.00,500,9873908520.00,500,1104.61,0.004109
2001/10/29,-0.023652,-0.023740,-0.023894,-0.023976,9678045370.00,500,9913271670.00,500,1078.30,-0.023818
2001/10/30,-0.017126,-0.017175,-0.020879,-0.020997,9511820450.00,500,9678045370.00,500,1059.79,-0.017166
2001/10/31,0.000007,-0.000099,0.003189,0.003093,9520542380.00,500,9511820450.00,500,1059.78,-0.000009
2001/11/01,0.023063,0.022942,0.020016,0.019945,9738987710.00,500,9520542380.00,500,1084.10,0.022948
2001/11/02,0.003038,0.003018,0.004572,0.004543,9768385400.00,500,9738987710.00,500,1087.20,0.002860
2001/11/05,0.014451,0.014424,0.019577,0.019505,9909300740.00,500,9768385400.00,500,1102.84,0.014386
2001/11/06,0.014678,0.014676,0.013494,0.013491,10054732400.00,500,9909300740.00,500,1118.86,0.014526
2001/11/07,-0.002384,-0.002723,0.001110,0.000883,10027388900.00,500,10054771000.00,500,1115.80,-0.002735
