tickers,Symbol,MarketCap,Sector,Industry
DUK,DUK,65088310000.0,Public Utilities,Power Generation
DVA,DVA,9492395864.35,Health Care,Hospital/Nursing Management
DVN,DVN,13214745000.0,Energy,Oil & Gas Production
DWDP,DWDP,120269008173.72,Basic Industries,Major Chemicals
DXC,DXC,18046602749.49,Technology,EDP Services
EA,EA,29183604473.7,Technology,Computer Software: Prepackaged Software
EBAY,EBAY,34170784844.85,Miscellaneous,Business Services
ECL,ECL,49154638528.32,Basic Industries,Package Goods/Cosmetics
ED,ED,26540237384.32,Public Utilities,Power Generation
EFX,EFX,13332509628.48,Finance,Finance: Consumer Services
EHC,EHC,6308655522.82,Health Care,Hospital/Nursing Management
EIX,EIX,19975485039.86,Public Utilities,Electric Utilities: Central
EL,EL,56673621226.12,Consumer Non-Durables,Package Goods/Cosmetics
EMN,EMN,11648676655.47,Basic Industries,Major Chemicals
EMR,EMR,42039998355.6,Energy,Consumer Electronics/Appliances
ENDP,ENDP,2521635102.4,Health Care,Major Pharmaceuticals
EOG,EOG,55915773010.08,Energy,Oil & Gas Production
EQIX,EQIX,34792204062.21,Consumer Services,Real Estate Investment Trusts
EQR,EQR,27190130110.5,Consumer Services,Real Estate Investment Trusts
EQT,EQT,4965311380.0,Energy,Oil & Gas Production
ES,ES,22099616249.92,Public Utilities,Electric Utilities: Central
ESRX,,,,
ESS,ESS,18334010142.63,Consumer Services,Real Estate Investment Trusts
ESV,ESV,1847259107.5,Energy,Oil & Gas Production
ETFC,ETFC,12443685574.32,Finance,Savings Institutions
ETN,ETN,34771682000.0,Technology,Industrial Machinery/Components
ETR,ETR,17528802657.0,Public Utilities,Electric Utilities: Central
EVRG,EVRG,14497933217.49,Public Utilities,Power Generation
EW,EW,36091089010.59,Health Care,Industrial Specialties
EXC,EXC,47071467587.82,Public Utilities,Power Generation
EXPD,EXPD,12937282800.0,Transportation,Oil Refining/Marketing
EXPE,EXPE,18438529382.08,Consumer Services,Transportation Services
EXR,EXR,12148576425.0,Consumer Services,Real Estate Investment Trusts
F,F,34971469768.23,Capital Goods,Auto Manufacturing
FANG,FANG,17194491042.12,Energy,Oil & Gas Production
FAST,FAST,17793519049.67,Consumer Services,RETAIL: Building Materials
FB,FB,463145464744.0,Technology,"Computer Software: Programming, Data Processing"
FBHS,FBHS,6725214998.92,Basic Industries,Homebuilding
FCPT,FCPT,1887796286.56,Consumer Services,Real Estate Investment Trusts
FCX,FCX,18649387849.95,Basic Industries,Precious Metals
FDC,FDC,24151210757.46,Miscellaneous,Business Services
FDX,FDX,47718774650.0,Transportation,Air Freight/Delivery Services
FE,FE,21683223957.5,Public Utilities,Electric Utilities: Central
FFIV,FFIV,9898765184.49,Technology,Computer Communications Equipment
FHN,FHN,4953810150.0,Finance,Major Banks
FII,FII,2969780319.0,Finance,Investment Managers
FIS,FIS,35001362099.76,Miscellaneous,Business Services
FISV,FISV,33829198424.69,Technology,EDP Services
FITB,FITB,17827616670.0,Finance,Major Banks
FL,FL,7119985040.14,Consumer Services,Clothing/Shoe/Accessory Stores
FLIR,FLIR,7126307849.46,Capital Goods,Industrial Machinery/Components
FLR,FLR,5225782311.36,Basic Industries,Military/Government/Technical
FLS,FLS,5894234010.0,Capital Goods,Fluid Controls
FLT,FLT,20030294115.52,Miscellaneous,Business Services
FMC,FMC,12178461651.72,Basic Industries,Major Chemicals
FMCC,,,,
FNMA,,,,
FOSL,FOSL,790793892.72,Consumer Non-Durables,Consumer Specialties
FOXA,FOXA,93979199616.33,Consumer Services,Television Services
FRC,FRC,17374492613.12,,
FRT,FRT,9850494000.46,Consumer Services,Real Estate Investment Trusts
FSLR,FSLR,5601921790.01,Technology,Semiconductors
FTI,FTI,10064892936.8,Energy,Metal Fabrications
FTNT,FTNT,14810281920.65,Technology,Computer peripheral equipment
FTR,FTR,329312880.0,Public Utilities,Telecommunications Equipment
FTV,FTV,27616320000.0,Capital Goods,Industrial Machinery/Components
GD,GD,48792577891.84,Capital Goods,Marine Transportation
GE,GE,89401172627.0,Energy,Consumer Electronics/Appliances
GHC,GHC,3607900017.09,Consumer Services,Other Consumer Services
GILD,GILD,84624820000.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GIS,GIS,28178483860.74,Consumer Non-Durables,Packaged Foods
GLW,GLW,27481564279.89,Basic Industries,Telecommunications Equipment
GM,GM,55716701944.78,Capital Goods,Auto Manufacturing
GME,GME,1198118712.5,Consumer Services,Electronics Distribution
GNW,GNW,1922907022.08,Finance,Life Insurance
GOLD,GOLD,21561163043.28,Basic Industries,Precious Metals
GOOGL,GOOGL,798435479533.92,Technology,"Computer Software: Programming, Data Processing"
GPC,GPC,16018774647.95,Capital Goods,Automotive Aftermarket
GPN,GPN,20723258442.96,Miscellaneous,Business Services
GPS,GPS,11256120231.98,Consumer Services,Clothing/Shoe/Accessory Stores
GRMN,GRMN,16045487490.42,Capital Goods,Industrial Machinery/Components
GS,GS,73725195268.0,Finance,Investment Bankers/Brokers/Service
GT,GT,4585898571.0,Consumer Durables,Automotive Aftermarket
GWW,GWW,16900039770.8,Consumer Services,Office Equipment/Supplies/Services
HAL,HAL,26987750103.06,Energy,Oilfield Services/Equipment
HAS,HAS,11076654209.4,Consumer Non-Durables,Recreational Products/Toys
HBAN,HBAN,15074111606.4,Finance,Major Banks
HBI,HBI,6693572591.12,Consumer Services,Clothing/Shoe/Accessory Stores
HCA,HCA,47408901649.0,Health Care,Hospital/Nursing Management
HCP,HCP,14581593993.12,Consumer Services,Real Estate Investment Trusts
HD,HD,209154654208.18,Consumer Services,RETAIL: Building Materials
HES,HES,17948719338.26,Energy,Integrated oil Companies
HFC,HFC,8884930317.78,Energy,Integrated oil Companies
HIG,HIG,17744480000.0,Finance,Property-Casualty Insurers
HII,HII,8721281310.0,Capital Goods,Marine Transportation
HLT,HLT,24534749893.86,Consumer Services,Hotels/Resorts
HOG,HOG,6168104570.0,Consumer Non-Durables,Motor Vehicles
HOLX,HOLX,13959803634.64,Health Care,Medical Electronics
HON,HON,113533254790.8,Capital Goods,Auto Parts:O.E.M.
HP,HP,6011822663.7,Energy,Oil & Gas Production
HPE,HPE,22554640868.76,Technology,Computer Manufacturing
HPQ,HPQ,30056635652.4,Technology,Computer Manufacturing
HRB,HRB,4961441454.1,Consumer Services,Other Consumer Services
HRL,HRL,23196106772.15,Consumer Non-Durables,Meat/Poultry/Fish
HRS,HRS,19827554881.86,Capital Goods,Industrial Machinery/Components
HSIC,HSIC,9094820439.21,Health Care,Medical Specialities
HST,HST,14474820000.0,Consumer Services,Real Estate Investment Trusts
HSY,HSY,23546728047.24,Consumer Non-Durables,Specialty Foods
HUM,HUM,39452681857.18,Health Care,Medical Specialities
IAC,IAC,17997726000.0,Consumer Services,Other Specialty Stores
IBM,IBM,123869382835.2,Technology,Computer Manufacturing
ICE,ICE,43882366486.44,Finance,Investment Bankers/Brokers/Service
IDXX,IDXX,18571389159.18,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
IFF,IFF,13635199559.52,Basic Industries,Major Chemicals
IHRTQ,,,,
ILMN,ILMN,47213460000.0,Capital Goods,Biotechnology: Laboratory Analytical Instruments
INCY,INCY,18872640815.25,Health Care,Biotechnology: Commercial Physical & Biological Resarch
INFO,INFO,21449486862.2,Technology,"Computer Software: Programming, Data Processing"
INTC,INTC,239690100000.0,Technology,Semiconductors
INTU,INTU,64990226459.88,Technology,Computer Software: Prepackaged Software
IP,IP,18506918142.56,Basic Industries,Paper
IPG,IPG,8890050195.0,Technology,Advertising
IPGP,IPGP,8294890984.76,Technology,Semiconductors
IQV,IQV,28325940074.35,Health Care,Biotechnology: Commercial Physical & Biological Resarch
IR,IR,25681983317.55,Capital Goods,Auto Parts:O.E.M.
IRM,IRM,10246164567.1,Consumer Services,Real Estate Investment Trusts
ISRG,ISRG,63947608647.1,Health Care,Industrial Specialties
